Timestamp,03770H150,03770C150,EGLLH150,EGLLC150,EGLCH150,EGLCC150
2010-01-01,375.7,0.0,397.5,0.0,385.6,0.0
2010-02-01,292.9,0.0,307.8,0.0,305.8,0.0
2010-03-01,228.5,0.1,246.5,0.3,241.7,0.1
2010-04-01,134.7,10.0,147.1,9.7,150.8,7.9
2010-05-01,104.7,28.6,114.7,31.5,116.5,23.0
2010-06-01,22.2,95.2,25.0,102.4,27.4,87.7
2010-07-01,0.6,150.4,3.4,141.2,0.6,152.1
2010-08-01,11.2,78.9,18.0,75.2,9.5,77.6
2010-09-01,34.0,38.3,46.0,37.5,32.7,35.5
2010-10-01,105.9,9.2,119.4,8.5,106.1,6.8
2010-11-01,239.3,2.5,258.9,1.9,244.1,2.5
2010-12-01,396.9,0.0,420.9,0.0,408.4,0.0
2011-01-01,286.3,0.0,307.8,0.0,288.6,0.0
2011-02-01,202.5,0.0,214.7,0.0,203.5,0.0
2011-03-01,215.7,1.4,230.9,1.5,230.0,0.8
2011-04-01,68.8,36.0,83.2,39.4,72.4,34.2
2011-05-01,53.1,31.7,67.2,30.2,49.1,32.5
2011-06-01,33.3,60.8,42.0,56.9,28.0,61.4
2011-07-01,10.3,71.6,16.2,74.0,8.2,71.1
2011-08-01,10.0,78.7,16.1,76.0,6.8,85.2
2011-09-01,20.5,63.5,25.8,59.4,15.5,70.8
2011-10-01,64.5,33.0,74.0,29.3,57.3,37.0
2011-11-01,123.9,0.8,144.2,0.8,123.6,1.2
2011-12-01,237.8,0.0,246.6,0.0,226.9,0.0
2012-01-01,242.7,0.0,261.5,0.0,244.6,0.0
2012-02-01,280.8,0.3,296.9,0.2,288.4,0.3
2012-03-01,168.2,6.7,187.2,7.2,182.9,4.3
2012-04-01,180.8,0.6,192.9,0.8,182.6,0.4
2012-05-01,82.7,48.2,90.9,48.1,84.4,42.5
2012-06-01,35.8,43.6,41.0,42.1,34.3,43.9
2012-07-01,11.0,77.2,14.0,72.6,8.9,78.9
2012-08-01,4.8,120.6,8.8,111.1,4.2,121.3
2012-09-01,45.2,43.0,53.3,43.6,38.8,46.2
2012-10-01,116.7,1.1,127.6,1.0,120.2,0.9
2012-11-01,205.2,0.0,221.3,0.0,207.2,0.0
2012-12-01,269.2,0.0,281.8,0.0,273.6,0.0
2013-01-01,314.5,0.0,323.8,0.0,323.3,0.0
2013-02-01,302.9,0.0,314.2,0.0,317.0,0.0
2013-03-01,333.2,0.1,346.3,0.1,354.2,0.1
2013-04-01,185.9,7.8,198.5,5.8,201.7,6.8
2013-05-01,105.2,13.8,114.2,13.7,112.9,9.7
2013-06-01,31.4,46.6,36.5,49.5,37.6,40.5
2013-07-01,3.0,172.4,5.5,177.9,3.7,167.3
2013-08-01,4.0,120.7,5.6,125.1,1.6,139.5
2013-09-01,36.0,42.3,41.0,45.6,27.7,46.9
2013-10-01,61.8,18.8,68.2,20.6,49.8,26.3
2013-11-01,212.1,0.0,225.4,0.1,198.2,0.3
2013-12-01,231.9,0.0,245.0,0.0,214.3,0.0
2014-01-01,238.0,0.0,248.5,0.0,223.4,0.0
2014-02-01,204.1,0.0,210.6,0.0,191.6,0.0
